[mean: 0.54430, std: 0.17498, params: {'penalty': 'l1', 'C': 0.001, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.001, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l1', 'C': 0.001, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.001, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l1', 'C': 0.004832930238571752, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.004832930238571752, 'class_weight': None},
 mean: 0.54430, std: 0.16399, params: {'penalty': 'l1', 'C': 0.004832930238571752, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.004832930238571752, 'class_weight': 'balanced'},
 mean: 0.74684, std: 0.11028, params: {'penalty': 'l1', 'C': 0.023357214690901226, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.023357214690901226, 'class_weight': None},
 mean: 0.74684, std: 0.12694, params: {'penalty': 'l1', 'C': 0.023357214690901226, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.023357214690901226, 'class_weight': 'balanced'},
 mean: 0.74684, std: 0.13569, params: {'penalty': 'l1', 'C': 0.11288378916846895, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.11288378916846895, 'class_weight': None},
 mean: 0.77215, std: 0.10732, params: {'penalty': 'l1', 'C': 0.11288378916846895, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.11288378916846895, 'class_weight': 'balanced'},
 mean: 0.70886, std: 0.09748, params: {'penalty': 'l1', 'C': 0.545559478116852, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 0.545559478116852, 'class_weight': None},
 mean: 0.72152, std: 0.14378, params: {'penalty': 'l1', 'C': 0.545559478116852, 'class_weight': 'balanced'},
