hu826751,11,11,greyish blue,greyish blue
huDDCF88,1,1,blue,same
hu3DC5EA,15,15,light brown,light brown
hu008567,7,7,very blue with darker blue outside ring,very blue with darker blue outside ring
hu98FFC6,14,14,Hazel green with brown center ,Same
hu0D1FA1,7,7,"dark ring, grey but fluctuates with reflected light",same
hu7604D9,9,9,Blue with amber ring around pupil,Blue with amber ring around pupil
huCF446F,16,16,brown,brown
hu6E5DF0,18,18,Brown,Brown
hu05CA34,13,13,hazel,same
hu9F7183,2,2,blue,same
hu0FB755,1,1,blue,blue
hu0FB755,1,1,blue,blue
hu5DA1EE,14,14,Hazel with brown tones,Hazel with brown tones
huE7F5FC,10,12,grey,grey
huAEADC0,5,5,grey-blue,same
hu775E9F,7,7,darker blue outer circle with grey inner streaks,same
hu2D6140,7,7,hazel,hazel
hu726FB4,2,2,"blue, clear with no flecks",same
hu2C1D94,10,10,Light green with amber spots,same
huB1FD55,14,15,"golden brown center, gray outer",same
hu816A0B,13,13,green,green
huA60DA9,21,21,Brown with some golden streaks,Same
hu5A063B,10,8,aqua,same
huB10361,16,13,hazel,hazel
huA08B2B,17,17,Hazel with brown and grey,Hazel with brown and grey
hu101457,9,9,bluish-green with hazel and amber flecks,bluish-green with hazel and amber flecks
hu60180F,23,23,dark brown,same
huDE435D,3,3,Blue,Blue
huA05317,16,16,"Brown inner ring, tan middle ring, grey outer ring, irregular borders",same
huBD6B35,13,13,havel,same
hu38BF09,7,2,"Blue-Green, Bit of Yellow","Blue, Bits of White"
hu6C733E,7,7,Gray blue,Gray blue
hu5BB600,2,2,Blue,Blue
hu2C1AB7,15,15,Hazel,Same
hu260CA7,13,13,hazel,hazel
hu7A262B,4,4,,same
huB24B8E,20,20,Dark brown greenish flecks,same
hu04260F,16,16,Brown with flecks of green,Same
hu17ABE7,3,2,blue with Amber ring and outer blue ring,same
huA9A1B6,14,14,hazel,hazel
hu8D99F6,14,14,brown inner ring near pupil that has star-like extensions into green outer ring near sclera,same
hu8D99F6,14,14,,same
hu95E46D,2,4,light blue,medium blue
huDBF9DD,21,21,brown,same
hu034DB1,13,13,Green,Same
hu0E64A1,2,2,Blue,Same
hu627574,13,13,light blue green with orange bursts around iris,same
hu2BC187,18,18,brown,brown
hu7123C1,2,10,Light Blue,Light Blue
huE9B080,11,11,hazel with ring,same
huEA2AF0,13,13,,
huC14AE1,2,2,"Blue eye, uniform color","Blue eye, uniform color"
huCBEE5B,22,22,dark brown,same
hu2F052E,6,6,blue-green,blue-green
hu5880D9,13,13,Dark blue/green background with yellow center,same
hu9408BD,13,13,hazel,same
huA7EB97,20,21,Brown,"Same, darker"
hu52DA79,16,15,"bluish ring around the outside, dark greenish yellow, then brown splotch around the iris","bluish ring around the outside, light green-brown middle, then darker green-brown splotch around the iris"
huD550A5,21,21,Brown,Same
hu374F4A,1,1,Blue,same
huD16532,4,4,Blue,Same
hu1365DC,8,8,Blue-Green,same
hu63432C,18,20,Brown,Same
huBA344C,14,14,"Outside ring green, inside ring brown",same
hu7D0E75,5,5,blue,blue
hu516E89,4,4,blue,same
hu3E50D4,23,23,dark brown,dark brown
hu265361,19,19,Brown with dark outer ring,Same
hu5A6172,2,2,blue,same
huCCF26A,2,2,my eye color is more blue than grey ,same
hu4F3A99,17,17,clear blue,clear blue
huD57BBF,6,6,Blue,same
huF041C5,21,21,Brown,Brown
hu14262A,4,4,Blue - more blue than in your chart,blue - more blue than in your chart
hu5844AD,,,blue,blue
huD09050,4,4,very light blue,very light blue
huCAFC1C,23,23,dark brown with blue ring,dark brown with blue ring
huD8C3BD,1,1,deep blue with some amber flecks,same
hu6C3F34,17,17,light brown,same
hu28391C,2,2,blue with one brown fleck,blue
hu76CAA5,13,13,"Hazel, both eyes somewhere between photo 13 and 14, with slightly more brown around the pupil than 13, but less than 14",same
huF83462,13,13,hazel,hazel
huC5733C,2,2,,
hu10D50B,16,16,brown radiating to hazel,brown radiating to hazel
huB5A0DF,4,4,Blue,Blue
hu5962F5,13,11,,
hu2D53F2,16,16,Brown,Brown
huFD4AD3,2,2,blue,blue
hu12771C,7,7,Blue green,Same
hu8FE675,24,24,Very dark brown,Same
hu751995,14,14,Hazel,same
huE2FAF1,19,19,Medium brown with a very dark ring around the edge,Same
huC4F2BB,23,22,brown,brown
huA720D3,14,14,green to brown,green to brown
hu397733,21,21,Brown w dark gray edge,Same
hu05E665,15,14,hazel,same
huD20DAF,3,16,bright green,light brown
huD10FBC,7,7,Blue with darker ring and green flecks,Blue with darker ring and green flecks
hu337BB4,15,14,brown grey,same
hu0F0879,20,20,"Mostly brown with some lighter brown streaks, thin outer grey ring",same
huF80F84,11,11,"green, grey, blue, changes color based on clothes, medium, light, darker ring around pupil",same
hu3C86DB,13,13,Green,Same
hu04F220,18,19,Light brown with flecks,Same
huA55602,14,13,hazel green,same
hu9941AD,4,4,"Medium blue with a grayish-white sunburst (ring and rays, similar to the sun), with the rays extending to and almost to edge of iris","same, very little difference "
huDBD591,7,7,Blueish green,same
hu851AB8,20,20,Brown,Same
huD0E08A,2,2,"Light blue with subtle grey undertone, very uniform in color, barely visible light green inner ring",Same
hu21DC54,1,1,blue,blue
huC36E0F,17,17,"light brown top-mid iris, green lower bottom iris",same
hu28DA07,19,20,brown,brown
huBC8000,3,3,"blue, with spots",same
hu30AAAF,11,11,green,green
hu521A6E,14,14,greenish hazel,greenish hazel
huE58F77,9,9,"Blue,green,grey","Blue,green,grey"
hu7BE59E,15,15,green with some gold at denter,same
hu6D50BE,15,15,Brown ,Brown
hu599905,13,13,Hazel,Hazel
hu5B19AE,7,7,Grey,Gray
hu580BA5,15,15,"Hazel, green outer ring, brown inner ring",same
hu5A61B8,13,13,"Green, hazel around Pupil, dark ring",Same
hu675643,20,20,hazel,same
hu399FC0,11,11,green with brown,same
hu81C741,17,17,brown with ring,same
hu5AB9A8,4,4,blue more water than sky,blue  more water than sky
hu24F4AB,13,13,hazel,hazel
hu779B4F,4,4,Blue-gray,same
hu3CAB43,7,7,blue with gold streaks,same
hu8AFE1F,4,4,grey,grey
hu6D1115,16,16,brown with a little bit of gray,same
huA45084,7,7,blue with some gray spokes and amber spots around pupil,same
hu1A8C1E,13,12,"hazel - green ring outside, brown inside",same
huB89823,7,3,"Blue, darker on the outer edge",Blue
hu96405F,18,18,Dark brown with a slightly green ring on the outside,Dark brown with a slightly green ring on the outside
hu33894B,24,24,Dark Brown,Dark Brown
huE9D7FD,20,20,brown,same
hu34BA70,10,10,green,same
huDD6E7A,9,9,"outer part blue, inner part yellow",same
hu00D419,12,12,green with flecks and dark outer ring,same
hu05F442,3,3,blue,blue
huFEC65A,9,9,green hazel,green hazel
hu251460,11,11,hazel,same
hu574751,4,4,blue,same
hu30888B,11,11,Light blue with hints of brown in the center,same
huE5A9A3,13,13,amber,same
huCEB0FE,16,16,"green ring, brown center",same
hu3A68BA,11,11,hazel,same
huEE0410,7,7,grey/blue,same
hu70C80B,18,18,brown,same
hu024B5D,1,1,"blue, dark","blue, dark"
hu2AF047,20,20,brown,same
hu6A28EC,11,11,green/hazel,green/hazel
hu613C50,13,13,hazel with a ring,same
hu2AE6B6,6,6,hazel,hazel
huD554DB,19,19,"Strong outer ring, green to light brown",Dark utter ring more dominant than left and green to light brown
hu4B11A3,13,13,"Dominantly green, with a hint of brown flecks",same
hu98D4A9,18,21,brown,same
huF8AE42,17,17,"warm brown core, slightly more golden towards the outer edge, dark grey-black ring around outside of iris, golden band from inner to outer edge between 7:00 and 8:00",same except without the 7:00-8:00 band
hu5E55F5,6,7,blue ,"can't tell, severely scarred"
huA8B443,11,11,hazel,Same
huD0D79A,14,14,hazel,hazel
huD95DAB,13,13,Green,Same
huB6B648,20,20,Brown,Brown
hu8D6607,8,8,blue,blue
huB68207,14,14,,
hu26B551,7,7,"Blue, with only a touch of greenish brown near the pupil. A dark blue ring around the outer edge of the iris.","Blue, with only a touch of greenish brown near the pupil. A dark blue ring around the outer edge of the iris."
hu5CD2C6,18,18,brown,same
huD92216,2,2,grey,same
hu57C3BB,22,22,Dark brown,Dark brown
huB0CC9A,20,20,Brown,Same
hu5F5EB7,10,10,"green, with a dark ring around the circumference",same
hu4B3FF4,20,20,"with dark grayish ring,radiating lines around pupil are not of even thickness",same
hu97DF8E,23,23,dark brown,same
huC96797,21,21,brown,same
hu05AE3F,23,23,Brown,same
huEC68B1,4,4,blue,same
huF7E042,14,14,hazel,hazel
huE44F41,10,10,Hazel,Same
hu9745B5,14,14,"Hazel. Dark amber radiating from pupils to light gold and green, grey-brown outer ring; light grey-blue halo in white ",Same
hu2D6140,7,7,hazel,hazel
hu3DF8AD,8,8,blue-green,same
hu42FD5E,4,4,blue,same
huAC3640,17,17,medium brown with darker outline,Same with black fleck/spot
huA4E2CF,20,20,,
huEBC5E7,20,20,brown,brown
hu117D1E,8,8,Amber/hazel,Amber/hazel
hu86BC6B,9,9,"Deep green, almost emerald, with a light brown ring around center",Same
hu50405B,4,4,blue,same
hu0D77CC,15,15,,
hu21731A,18,18,Brown,same
hu9A06D5,14,14,Green with a brown ring on the inside,same
huF90C82,21,21,brown,same
hu2C7459,7,7,Green,Same
hu2B76CC,16,16,"center brown, outer grey",same
huD2F73D,5,5,blue-green,same
hu90D19A,3,3,blue with flecks,same
hu8BEDE1,20,20,brown,brown
hu7FA667,11,11,Hazel with gold ring,Same
hu51FE08,4,3,blue-gray,blue-gray
hu1B2689,20,20,,
hu3C0611,14,14,hazel,hazel
hu9D3638,21,21,brown,brown
huE9B698,5,5,blue with very light brown ring around pupil,same
hu2E4B9F,17,17,Brown,Brown
huFF2969,15,15,brown,same
huEC6EEC,14,14,,
hu9FEC32,13,13,blue-grey,same
hu8BFB8B,17,16,"Outer greenish circle, like a halo, surrounding an inner amber brown circle around the pupil, with the amber brown going into the green part like ink blots","Outer greenish circle, like a halo, surrounding an inner amber brown circle around the pupil"
huEC0E19,14,14,green with tan flecks,same
hu6E8157,23,23,uniform dark brown,same
huAB5240,4,4,hazel,same
huCED936,14,14,Hazel,Same
hu868BCC,20,20,brown,brown
hu67EBB3,8,8,"green and blue, no fleck or spots","green and blue, no fleck or spots"
huD7960A,5,5,"dark green, with thin brown core",same
hu13812F,4,4,Blue,Same
huC11596,14,14,"Hazel, brown in center, main part green, bluer ring around outside--a little less brown than photo",Same
hu8A71D6,20,20,dark brown ,dark brown with pigment just outside but attached to iris
hu8E2A35,14,14,hazel,hazel
huA9A9EE,20,20,dark brown,dark brown
hu27E03F,4,4,blue,same
hu88D1FC,11,11,hazel,same
hu4DB380,7,7,aqua with dark green outer ring - some brown near iris,aqua with dark green outer ring less brown near iris than left eye
huF91B66,21,21,dark brown with black spots,same
huE753C3,4,4,blue,same
huADA07D,21,21,"Brown or ""Chocolate""",same
huEEE6E8,21,21,dark brown,dark brown
hu01FCAD,20,20,Brown,Brown
hu6578EA,10,10,green with blue ring and lines,same
huAD98C9,22,22,,
huEB7553,11,11,hazel/grey/brown,same
hu5AE862,18,18,Brown,Same
hu592A16,2,2,blue,blue
huB4940E,20,20,Brown,same
hu3BBB0F,14,15,"Hazel, more green than my right eye, color a bit more regular with more brown on top and more green on the bottom","Hazel with brown stellate pattern darkest surrounding the iris and thinning towards the border of the iris. Coloring is evenly Bruce distributed brown to green, as opposed to the left I have a more brown on top and green on the bottom"
hu155D20,11,12,hazel,same
hu63B0BA,15,21,hazel ,"2/3 of my eye is a solid brown, the other 1/3 is hazel"
hu69F26B,8,8,"smooth (no lines minimal flecks) blue grey, with ring around outer edge",same
hu30804D,8,8,blue-green,same
hu6BA24C,8,8,hazel,same
hu45BAB6,18,18,,
huC4A276,13,13,blue green,blue green
hu488F89,8,8,light hazel grey,light hazel grey
hu20289E,18,18,brown,same
huDEF76C,7,9,bluegreenish hazel,same
hu602487,2,2,Blue,Same
hu5AE84D,19,19,brown - they were much darker when I was younger,brown - they were much darker when I was younger
huF1DC30,20,20,brown,brown
hu0D09BD,7,7,blue with darker blue ring and center,same
huC244BC,19,19,brown,brown
hu4CA5B9,20,20,hazel,same
hu839A25,16,16,"Green brown center, sometimes more brown seemingly changing with mood",Same
hu2632E4,4,4,blue,same
hu2632E4,4,4,blue,same
hu50E540,19,19,Brown with slight yellow ring outside,same
hu1BD549,21,21,"Dark brown, some yellow flecks","Dark brown, some yellow flecks"
hu23DF74,9,8,Hazel,same
hu8D8CFA,7,7,blue,blue
huD3A569,1,1,blue,blue
hu43860C,11,11,green with gold flecks,same
huB220C0,2,2,blue,blue
hu005EB9,21,21,dark brown with black ring,dark brown with black ring
hu1ED23F,4,4,blue,blue
hu4BE6F2,13,13,hazel with green and brown flecks,hazel with green and brown flecks
huB1488D,4,4,blue,blue
hu9BE3A3,14,14,hazel,same
hu101EF8,15,15,Radial stripes of multi colors.  Looks brown from a distance.,Radial stripes of multi colors.  Looks brown from a distance.
hu033AF6,20,20,Brown iris with darker brown dots/spots,same
hu0B9C47,5,5,blue-grey,same
hu0B9C47,5,5,blue-grey,same
hu1BF153,14,14,Blue,Same
hu3D303A,2,2,grayish-blue,same
huED0F40,14,15,"Overall brown, with thin blue ring at outer i",Same overall brown color as left eye
hu62F5A1,14,14,"grayish outside, then light brown, then black iris",same
hu24C863,18,18,brown,brown
hu836D0A,10,10,"green, dark ring around flecks of gold",same
hu3E2659,4,4,Dark blue gray with a slight tinge of a hazel ring near the puple,same
hu26DA5F,18,18,,
huB7EEC5,7,7,Blue with ring,Blue with ring
hu4C7B30,14,14,"green, hazel","green, hazel"
hu91FB6B,8,8,blue or blue-green,same
hu151DB6,9,9,hazel,hazel
hu39AD6F,7,7,,
hu172277,13,13,blue/green with orange square/ring in center,same
hu9CEB09,8,8,Grey blue with speckles of green and yellow,same
hu49F623,24,24,brown,brown
hu49F623,24,24,brown,brown
hu3B173B,14,14,green with amber flecks,same
hu11AE54,13,13,Green,Green
huD81F3D,21,22,dark brown with a ring,dark brown with a ring
huD50F73,21,21,Brown,Brown
huC434ED,4,4,Blue,Blue
huAF3DDC,21,21,brown,brown
huC3B707,8,8,green,same
huEDF7DA,23,23,dark brown little variation,dark brown little variation
hu4040B8,16,16,same,same
hu3CEAE6,7,7,blue-grey,blue-grey
hu9D7653,23,23,brown,brown
hu5FF6B0,4,4,blue,blue
huA5A1D1,6,6,blue grey,blue grey
hu299FA0,11,11,hazel,same
hu5D9DE3,13,13,green,same
huCBDC6D,1,1,Blue,Blue
huC0FD53,16,16,Green outline with hazel center,Green outline with hazel center
huC0FD53,16,16,Green outline with hazel center,Green outline with hazel center
huA1D523,16,16,Brown,Same
hu78E4B0,10,10,"Green with dark green outer ring, some yellowish-green areas with darker green flecks","Green with dark green outer ring, some yellowish-green"
hu9A103C,17,18,brown with a greenish edge,"same, but darker"
hu390F07,11,11,green,same
huE9D25C,1,1,blue,same
hu037E20,21,21,,
hu776C1D,1,1,"blue, with ring, dark blue lines",same
hu646527,4,4,Blue with grey flecks,same
hu5408F9,14,14,hazel,same
hu3C8DE9,4,3,blue,blue
huF40F46,11,11,green with gold ring,same
hu6A3E89,,,,
hu35389E,13,13,hazel,hazel
huD5DD1B,15,15,,
huF85C6E,20,20,BROWN,BROWN
hu50D3EC,9,9,,
hu094BE5,14,14,brown,same
hu365511,14,14,hazel,same
huE3A56D,9,11,,
hu3384B3,,,,
hu9C0B77,15,15,light brown,same
huB573AE,9,9,blue/green,same
huEF6271,4,4,Blue,Blue
huBADF69,20,20,Hazel,Same
hu69BD84,14,14,More green than hazel,Same
hu5C5672,3,3,Blue,Same
hu68B66A,14,14,light brown,light brown
huE3FBCD,8,8,,
huB4C1A1,18,18,Brown,same
huE8E021,13,14,green,"same, bit darker"
hu8E6CC6,20,20,brown,brown
huD649F1,9,9,Hazel,Hazel
hu065B67,14,14,"orange-brown inside, then green, then blue-gray ring on the outside",same
huD22AB8,14,14,olive green with a brown bloych,olive green
hu5A7A1A,18,18,,
huA38896,1,1,blue,blue 
hu96FC5C,15,15,Green/brown,same
hu66E27A,1,1,hazel,hazel
hu4E82B4,3,3,Blue,Blue with a speck of brown
huE11C66,12,12,green,same
huD59A33,14,14,hazel,hazel
hu5F0DCB,21,21,brown,brown
hu5917F3,7,7,blue with light colored streaks and a concentric band of dark spots,same
huB1D7BD,11,11,green with light brown inner ring and bluish outer ring,green with light brown inner ring and bluish outer ring
hu3F83D2,18,18,amber,amber
hu5FD75D,4,4,Blue,Same
hu442A0A,8,8,grey with light yellow,grey with light yellow
hu96713F,10,10,green,same
hu466B05,7,7,dlight blue with central yellow starburst and dark blue thin outer rim,same
hu6157D1,7,8,hazel green,same
huB1F492,7,7,"med/light, blue/green with a fairly wide and high contrast limbal ring and a tiny bit of yellow around the pupil",same
hu2F62E7,13,13,green with brown,same
huE9E777,3,4,bluish gray,bluish gray
huEAE6C8,7,7,Grey/blue ring with black and white lines radiating through blue iris with a small amt of yellowish around the pupil,
hu3D46CB,24,24,,
hu647F28,14,14,hazel,same
hu2AB2C8,11,11,green,same
hu735D1C,15,15,hazel,hazel
hu8E82F1,20,20,Brown,Brown
hu97745F,7,7,green-blue,same
hu7FC773,7,7,Between sky blue and a turqouse.,Between sky blue and a turqouse.
hu3C0577,7,8,blue with hint of green,same
hu3C0577,7,8,blue with hint of green,same
hu48E77B,13,,,same
huA7FD13,7,7,green,green
hu3C6B72,7,7,blue with green/yellow ring around pupil,same
